id|Text|Scene|Tag
VOICE_1|Let's take some time to appreciate the beauty of the 胡同 in Beijing.|家居|EN
VOICE_2|I’m searching for适合 winter 的 holiday recipes.|生活|ZH
VOICE_3|The 绿豆汤 my mom makes is really refreshing in summer.|美食|EN
VOICE_4|It's essential to develop a balance between 合作 and healthy competition.|教育|EN
VOICE_5|My school encourages us to learn through 体验学习.|教育|EN
VOICE_6|由于 air pollution 增加，我们必须考虑购买口罩。|环保|ZH
VOICE_7|Got a craving for some 龙井虾仁, the subtle tea flavor pairs well with shrimp.|美食|EN
VOICE_8|你最近有没有学到什么 useful life hacks?|生活|ZH
VOICE_9|I’ve been watching a lot of travel vlogs 为了获得灵感.|娱乐|EN
VOICE_10|我们今天学习了中文课的topic——calligraphy，我对此非常兴奋。|教育|ZH
VOICE_11|我的 master bedroom 使用了大量的 Pastel colors，看起来很温馨。|家居|ZH
VOICE_12|我的卧室需要一个新的 ceiling fan，你们有什么建议吗？|家居|ZH
VOICE_13|Our 篮球队 won the school championship last year.|健康|EN
VOICE_14|我希望能养几只 cute pets.|生活|ZH
VOICE_15|Our daughter spends a lot of time on 网络学习.|教育|EN
VOICE_16|Mindful 饮食 helps me enjoy my food and stay healthy.|健康|EN
VOICE_17|Let’s plan a themed dinner party based on our favorite 电影.|娱乐|EN
VOICE_18|We can一起去看一个 classic movie 重温旧时光。|娱乐|ZH
VOICE_19|The 龙井茶 is known to be sweet and delicious.|美食|EN
VOICE_20|I’ve been getting into baking and trying new 食谱.|生活|EN
VOICE_21|I'm interested in exploring new cultures through 旅行.|家居|EN
VOICE_22|你知道吗, composting 厨余 can significantly reduce household waste.|环保|EN
VOICE_23|以前从来没有见过这么美的 sunset， Cyclades Islands 简直像天堂。|旅行|ZH
VOICE_24|A daily dose of 维他命C can help boost your immune system.|健康|EN
VOICE_25|I'm planning to study in 中国 for my graduate degree.|教育|EN
VOICE_26|我的 New house decorations 都是通过白猫派购买的，很方便。|家居|ZH
VOICE_27|我们可以通过 Team Collaboration 来增强学习效果和团队精神。|教育|ZH
VOICE_28|你有使用 Jupyter notebook 的经验吗？|工作|ZH
VOICE_29|我和朋友去吃了 Japanese Shabu-Shabu，非常清爽好吃。|美食|ZH
VOICE_30|I just finished 蓝翔夜校. It's a good read.|教育|EN
VOICE_31|我的 mother always told me not to skip breakfast.|健康|EN
VOICE_32|我想学会弹 piano.|生活|ZH
VOICE_33|I recently started learning about healthy 饮食 choices.|生活|EN
VOICE_34|通过对自主 electric vehicles 的采购，我司正在试图减少碳足迹。|环保|ZH
VOICE_35|我正在准备一个关于 digital transformation 的讲座，尝试学习更多的数字化转型知识。|教育|ZH
VOICE_36|Do we have any extra 卫生纸 in the closet?|家居|EN
VOICE_37|我正在考虑开始使用 pet insurance。|宠物|ZH
VOICE_38|我正在学习 Hebrew alphabet，这是我第一次尝试学习这种文字。|教育|ZH
VOICE_39|I tried making 拉面 for the first time today.|美食|EN
VOICE_40|Let's go for a walk in the park to enjoy the fresh 空气.|家居|EN
VOICE_41|I have heard about your 月光 syndrome.|家居|EN
VOICE_42|I need to find a reliable 宠物托管 for my trip next week.|宠物|EN
VOICE_43|Good 教师 inspire hope and ignite imagination in their students.|教育|EN
VOICE_44|Can you help me draft an email to the 家长，关于最近的活动?|教育|EN
VOICE_45|我们的 Bengal cat 晚上醒着的时间比白天要长。|宠物|ZH
VOICE_46|我们的生物课老师让我们写一个关于 DNA replication 的报告。|教育|ZH
VOICE_47|If you want to sleep well, you need to stop 摸鱼 and limit caffeine intake.|健康|EN
VOICE_48|I’ve been trying to incorporate more 水果 into my diet.|生活|EN
VOICE_49|Home-schooling certainly offers a flexible 教育解决方案.|教育|EN
VOICE_50|I heard from my friends that the 五一假期 is a good time to travel.|工作|EN
VOICE_51|I’ve been watching a lot of cooking show 频道 lately.|娱乐|EN
VOICE_52|Did you hear about the latest 名人新闻 everyone is buzzing about?|娱乐|EN
VOICE_53|我们可以一起去参加一个 trivia night 挑战知识！|娱乐|ZH
VOICE_54|In order to protect wildlife, we may adopt more 非洲狮类似 measures.|环保|EN
VOICE_55|我们打算在这个 city 的 festivals 中体验当地文化。|旅行|ZH
VOICE_56|我常常带我家狗狗去Pet Park玩。|宠物|ZH
VOICE_57|I hope能去参加一个 dance performance.|生活|ZH
VOICE_58|学到一个新的词汇，significance，中文意思是重要性。|教育|ZH
VOICE_59|I'm considering hiring a Mandarin tutor to help improve my 流畅度.|教育|EN
VOICE_60|对我来说，项目初期的 brain storming 阶段最为重要，这直接关系到项目后续的进展.|工作|ZH
VOICE_61|我在论文中使用了 SWOT analysis，希望我能得到好成绩。|教育|ZH
VOICE_62|下个月，我办理了 Visa 去美国旅行。|旅行|ZH
VOICE_63|新的 living room 的布置需要考虑哪些 factors？|家居|ZH
VOICE_64|我弟弟明天要参加 English Speech Contest，他正在紧张地准备。|教育|ZH
VOICE_65|你最近在学习什么新的 skills 吗？|生活|ZH
VOICE_66|Need help with assembling a 大床. Anyone here good at it?|家居|EN
VOICE_67|Every year we celebrate 春节 with fireworks and red envelopes.|家居|EN
VOICE_68|Participating in 文学社 helped me improve my writing skills.|教育|EN
VOICE_69|今晚我打算和家人一起看一个 adventure movie，感受刺激的情节。|娱乐|ZH
VOICE_70|How does 宝宝树 work for parents in need?|工作|EN
VOICE_71|主题 tour 说，我们可以参观了解 local culture 。|旅行|ZH
VOICE_72|Have you ever taken a night train to see the landscape变化?|旅行|EN
VOICE_73|I enjoy exploring the different 美食 offered in every city.|旅行|EN
VOICE_74|我们可以一起去参加一个 game night.|生活|ZH
VOICE_75|我想尝试一个新的 hobby like painting.|生活|ZH
VOICE_76|最近我在尝试学习 cooking techniques.|生活|ZH
VOICE_77|在 Vienna 的 concert halls 中，我体验到了欧洲的 classical music。|旅行|ZH
VOICE_78|We need to ensure compliance with the 行业标准.|工作|EN
VOICE_79|Do we have spare 故事书 for the children?|家居|EN
VOICE_80|Do you think这个 weekend 参加 community service 如何？|生活|ZH
VOICE_81|我今天想看看新出的 movie.|生活|ZH
VOICE_82|Does your dog like to eat 牛肉骨头?|宠物|EN
VOICE_83|Let’s plan a fun day filled with games and 美食.|娱乐|EN
VOICE_84|我经常 ride a bike 到公司，为的是减少汽车尾气排放。|环保|ZH
VOICE_85|My 小狗 refuses to eat, what should I do?|宠物|EN
VOICE_86|我用 Booking.com 预订了到 L.A. 的航班。|旅行|ZH
VOICE_87|The pastry dad bought from the local 饼家 is still crispy after days.|美食|EN
VOICE_88|我们可以去 hiking 享受大自然的美好。|旅行|ZH
VOICE_89|我订的milk tea girl给我加了pearl, 味道很好。|美食|ZH
VOICE_90|我喜欢手机上的Home Workouts健身课程，真的很便利。|健康|ZH
VOICE_91|最近我在追的这个 drama 情节真是精彩！|娱乐|ZH
VOICE_92|Getting a 身体检查 once a year can help in early detection of health issues.|健康|EN
VOICE_93|I’ve been watching a lot of travel 视频 for vacation ideas.|娱乐|EN
VOICE_94|我通常Walk my dog去把我的Daily steps量达标。|健康|ZH
VOICE_95|Did you hear about that new film directed by a famous 导演?|娱乐|EN
VOICE_96|最近我在探索新的 fitness activities.|生活|ZH
VOICE_97|你认为 online training 对员工发展有多大影响？|工作|ZH
VOICE_98|My husband 的 specialty 是 spaghetti，每次来客人他都会做。|美食|ZH
VOICE_99|我已购买了 energy star appliances ，积极履行环保职责。|环保|ZH
VOICE_100|我喜欢在 breakfast 时喝一杯 fresh juice。|美食|ZH
VOICE_101|看了网上一段关于喂 guinea pig的视频，感觉要成视频中的 饲养 master。|宠物|ZH
VOICE_102|Have you ever traveled to see a famous 音乐会?|旅行|EN
VOICE_103|最近我在练习一些 relaxation techniques.|生活|ZH
VOICE_104|我在 Wayfair 定制了我家的 new dining table，质量超乎我的预期。|家居|ZH
VOICE_105|我们可以去试试 new breakfast spot.|生活|ZH
VOICE_106|我在 Colorado 的 ski resort 中享受了一个难忘的 winter holiday。|旅行|ZH
VOICE_107|我打算做一些饺子给我的 colleagues 尝尝。|美食|ZH
VOICE_108|The 摆设 at the corner adds charm to our living room.|家居|EN
VOICE_109|I love visiting local cafes to enjoy good 音乐 and food.|娱乐|EN
VOICE_110|我在自由时间做一些spinning exercise减轻压力。|健康|ZH
VOICE_111|Do we have enough 火锅底料 for dinner tonight?|家居|EN
VOICE_112|我和我家的狗狗每天至少 walk 一小时，这样可以保持它的健康。|宠物|ZH
VOICE_113| Russia 的 winter scene 真的让人留连忘返。|旅行|ZH
VOICE_114|What’s your favorite 旅行地点 that you keep returning to?|旅行|EN
VOICE_115|我们采用 electric vehicles 以减少空气污染。|环保|ZH
VOICE_116|The 黄焖鸡米饭 at this joint, is some of the best I've ever had.|美食|EN
VOICE_117|Just discovered a great 面包店 with delicious pastries.|生活|EN
VOICE_118|Lately我对 eco-friendly products 感兴趣，想了解更多.|生活|ZH
VOICE_119|Though it's a 藍月亮, the night feels still.|教育|EN
VOICE_120|Parents-teacher meetings are crucial for a child's 教育进步.|教育|EN
VOICE_121|Have you ever taken a 做饭 class while on vacation?|旅行|EN
VOICE_122|我正在计划去 South Africa 的 safari parks 追求 adventure。|旅行|ZH
VOICE_123|我决定在我的庭院种些 Lavender，来增加一些香气。|家居|ZH
VOICE_124|I’ve been getting into photography; the 风景 is beautiful here.|生活|EN
VOICE_125|How to train a 狗 to behave around guests?|宠物|EN
VOICE_126|日行一善，我为 Neighbour 的野猫准备了一些 Cat food。|宠物|ZH
VOICE_127|项目进入了 final phase，我们都非常兴奋，希望能顺利过关.|工作|ZH
VOICE_128|Check out this 美食节 happening in our city next week.|教育|EN
VOICE_129|I enjoy visiting museums to learn about different 艺术 forms.|娱乐|EN
VOICE_130|热量 intake should be monitored to maintain a healthy weight.|健康|EN
VOICE_131|It's important to handle 客户关系 with care and professionalism.|工作|EN
VOICE_132|Can you help me finalize the 会议安排 for next week?|工作|EN
VOICE_133|Let’s make a travel bucket list of 地点 we want to see.|旅行|EN
VOICE_134|I left the 船票 on the kitchen counter.|家居|EN
VOICE_135|Recycling 废物 waste is a small step towards a cleaner earth.|环保|EN
VOICE_136|Let's reduce 农业污染 by promoting organic farming.|环保|EN
VOICE_137|我希望能去体验一下新的 restaurant.|生活|ZH
VOICE_138|I'm excited to start the 新的 academic year.|教育|EN
VOICE_139|我每天都会进行 muscle stretch，这对我们维持柔韧性非常重要。|健康|ZH
VOICE_140|最近我在研究如何做 homemade jam.|生活|ZH
VOICE_141|我最近开始 research 城市居民对电动车的接收程度。|环保|ZH
VOICE_142|我会坚持每日do the splits浑身舒泰。|健康|ZH
VOICE_143|我想给我家的british short hair买个新的 cat bed。|宠物|ZH
VOICE_144|我在 Amazon 上购买了一个新的电动马桶盖。|家居|ZH
VOICE_145|来 Perth 主要是想去一下 wine tasting，顺便看看 kangaroos。|旅行|ZH
VOICE_146|在 Queenstown，我们体验了一生一次的蹦极。|旅行|ZH
VOICE_147|我们的目标是提高团队的 overall performance。|工作|ZH
VOICE_148|在hot days，我喜欢吃这家店的soft serve ice cream。|美食|ZH
VOICE_149|他在公司的 annual event 上被评为年度最佳员工。|工作|ZH
VOICE_150|我在 Cuba 的旅行中得到了 unforgetable experiences 和 local friendships。|旅行|ZH
VOICE_151|常熬夜 may lead to various health issues, including depression and weight gain.|健康|EN
VOICE_152|Is it safe to let my dog play with the neighborhood 猫咪?|宠物|EN
VOICE_153|There was a colorful 火凤凰 in the parade last night.|教育|EN
VOICE_154|I love discovering new cafes and 餐馆 in every city I visit.|旅行|EN
VOICE_155|I enjoy making playlists for different 心情 and occasions.|娱乐|EN
VOICE_156|Have you ever hosted a game night with friends?|娱乐|EN
VOICE_157|Let's organize a community event to promote our 学校 programs.|教育|EN
VOICE_158|我在考虑买一只新的 house plant.|生活|ZH
VOICE_159|做 coupling workout 是我们的一种增加亲密度的方式。|健康|ZH
VOICE_160|I wish to adopt a 流浪猫, any suggestions on how to approach?|宠物|EN
VOICE_161|我正在寻找一款 memory foam 的床垫，感觉会非常舒适。|家居|ZH
VOICE_162|I love finding unique places to stay while 旅行.|旅行|EN
VOICE_163|最近我在制定 annual 预算，以确保 resource 的合理分配。|工作|ZH
VOICE_164|我想在当地的 market 购买一些特产。|旅行|ZH
VOICE_165|My 学业期待 is to graduate with a first-class degree.|教育|EN
VOICE_166|Avoid 果汁 with added sugar. Prefer whole fruits instead.|健康|EN
VOICE_167|去 shopping 的时候，尝试使用布袋代替 plastic bags 吧，很有帮助的。|环保|ZH
VOICE_168|你有没有尝试过任何 eco-friendly products？|生活|ZH
VOICE_169|I love using my reusable 筷子 and 勺子 when I go out to eat.|环保|EN
VOICE_170|I love attending workshops that teach new skills and 爱好.|娱乐|EN
VOICE_171|What do you think这个 DJ 的表演如何？|娱乐|ZH
VOICE_172|We should stay focused and committed to our 工作目标.|工作|EN
VOICE_173|I’ve been watching a lot of cooking 节目 for ideas.|娱乐|EN
